Date,Close,High,Low,Open,Volume
2016-02-22,53.29401397705078,53.973208997452225,53.17111079895887,53.365167929095804,14595200
2016-02-23,52.54367446899414,53.2810837309553,52.31727281929242,53.03527735358275,11041600
2016-02-24,52.73126983642578,52.892982520453806,51.534596961634236,51.68984469155836,13777500
2016-02-25,53.0482177734375,53.087027229250815,51.7609815580751,52.757132049602724,13706400
2016-02-26,52.8800163269043,53.740328480310836,52.84120688497143,53.61742533408803,14343300
2016-02-29,51.845062255859375,53.300475703830664,51.78037820074273,52.96411072110081,18903600
2016-03-01,52.57600784301758,52.8929632061514,51.95503195531395,52.11027469347044,15730600
2016-03-02,53.4945182800293,53.507458049779345,51.94854644500222,52.36253024563263,14094400
2016-03-03,53.30048370361328,53.50747567209987,52.74419186297849,53.46866622022045,13216200
2016-03-04,53.22932052612305,53.66917899980589,52.88649060039966,53.46865695307944,18402700
2016-03-07,54.63298416137695,54.63298416137695,53.177570762187166,53.24225481513578,18945600
2016-03-08,53.44926834106445,54.471293569849294,53.35224468997891,54.33545552325064,14003900
2016-03-09,53.30048370361328,54.23841498126986,53.19698525183109,53.83090093130253,14139300
2016-03-10,53.158180236816406,53.46867068300038,52.34961702132278,53.31342299236928,15898300
2016-03-11,53.16464614868164,54.0314234820352,53.04821285695438,53.830901398812955,15370200
2016-03-14,53.30698013305664,53.45575306272282,52.40785292451119,52.70540865400408,13344600
2016-03-15,53.57217025756836,53.59157498731882,52.731262444470644,52.783011680524396,9213000
2016-03-16,53.604515075683594,53.79210235616053,53.00294377452611,53.701538725000276,11492100
2016-03-17,54.40011978149414,54.775294212592016,53.5074679711951,54.12844378728275,13673900
2016-03-18,54.464813232421875,54.72355443419496,53.850307196403996,54.7170845470042,19637000
2016-03-21,54.08964538574219,54.426005504151625,54.01202154222703,54.231948362902806,8385400
2016-03-22,54.41305923461914,54.89172716471998,53.69505487192936,53.74033420403244,13005100
2016-03-23,54.17375183105469,54.52952172755917,54.024973982949255,54.24490581035558,12748900
2016-03-24,54.3225212097168,54.3548607820335,53.64332603503988,53.649795923534796,9368300
2016-03-28,54.47774887084961,54.56830754433327,54.14138385355806,54.35484569894567,7490400
2016-03-29,54.678287506103516,54.73003674522091,53.792105227843706,54.12199552328919,9977900
2016-03-30,54.67181396484375,55.014648949782526,54.335453803210896,55.001709173328145,10807000
2016-03-31,54.070228576660156,55.04697417103957,54.070228576660156,54.38071897460265,13896900
2016-04-01,53.662723541259766,53.9408694881493,53.29401890794837,53.3004887955723,12235300
2016-04-04,53.79209899902344,54.27076706773462,53.546292609218334,53.72740999007778,8050200
2016-04-05,53.177589416503906,53.772690808511456,53.03528148905023,53.436330654139816,10446800
2016-04-06,53.889122009277344,53.98615058647759,53.23580645529115,53.48807779496472,9320200
2016-04-07,53.28107452392578,53.79855193434758,53.07408257274159,53.533345810210356,8267100
2016-04-08,53.824432373046875,53.9796751194748,53.59156578586602,53.882651487381054,9376200
2016-04-11,53.895591735839844,54.49069310277224,53.86971711965864,53.90206162365475,9925000
2016-04-12,54.56186294555664,54.742980376466924,53.92795193737064,54.13494399199381,9986100
2016-04-13,54.87234115600586,54.92409039179487,54.36132855651651,54.65887925968523,9235700
2016-04-14,55.260440826416016,55.564461364309366,54.82705215690238,54.9822949018623,10625800
2016-04-15,54.9629020690918,55.409230609395564,54.83999886290288,55.17636397402655,11280200
2016-04-18,55.48684310913086,55.53859234101878,54.24489115429125,54.9628957077313,9097000
2016-04-19,55.76499557495117,55.829679654826876,55.12461479454745,55.53212893933546,10354500
2016-04-20,56.14663314819336,56.5606171307081,55.60974597443637,55.77792850954497,15247100
2016-04-21,56.14017105102539,56.81936130327163,55.99786311196074,56.01079795411251,12075300
2016-04-22,56.618831634521484,56.68998559458144,56.159568305548035,56.43124437027965,9150800
2016-04-25,56.48945999145508,56.53473933277281,55.85554427792871,56.33421230544163,8076400
2016-04-26,56.683502197265625,56.88402918922341,56.31479764441059,56.76112602657933,9425900
2016-04-27,57.220401763916016,57.38858429668291,56.489462384514106,56.890506586009714,10463500
2016-04-28,56.942256927490234,57.4273948723707,56.59942690272059,56.83229351106948,11276200
2016-04-29,57.18159103393555,58.07424303858285,56.75466729144455,57.36270840284269,17885900
2016-05-02,57.653804779052734,57.880206486506985,56.97461446192849,57.07810801426573,10273700
2016-05-03,56.9940071105957,57.33036725322554,56.508869157618264,57.181594377956394,10137400
2016-05-04,56.884037017822266,57.40151447923264,56.664105272037496,57.11690360273419,10601100
2016-05-05,56.9487190246582,57.55029019141817,56.67704299710924,57.41445217764369,8721100
2016-05-06,57.252742767333984,57.362706174888345,56.57354772523379,56.57354772523379,7968400
2016-05-09,57.29156494140625,57.41446815071368,56.42478739282291,57.31096967233289,11159500
2016-05-10,58.21009063720703,58.21656052575423,57.453276534791186,57.50502577301081,12509100
2016-05-11,57.92959213256836,58.49708346968342,57.87088870625659,58.15789650570149,11660200
2016-05-12,58.49057388305664,58.66016989587565,58.151386833973476,58.575374377743564,10720500
2016-05-13,57.83177185058594,58.48405889617402,57.73392779843668,58.23618663385521,9721100
2016-05-16,58.42533874511719,58.4905664412702,58.05353540283535,58.18399079514138,8638700
2016-05-17,58.39924621582031,58.64711842644424,58.15790324428125,58.22965022590198,9835600
2016-05-18,58.281837463378906,58.7058249723792,57.825238593104395,58.575369574173465,9680300
2016-05-19,58.7775764465332,58.81019278409116,57.69477773950545,57.799146038447375,14397900
2016-05-20,58.53622055053711,58.96673226046656,58.30139688631263,58.96020799852873,13191900
