Date,Close_QQQ,Close_SPY,High_QQQ,High_SPY,Low_QQQ,Low_SPY,Open_QQQ,Open_SPY,Volume_QQQ,Volume_SPY
2015-01-02,94.78441619873047,170.589599609375,95.94458562666526,171.79369351311453,94.32402949797883,169.5515963619706,95.53945010696543,171.37849221415277,31314600,121465900
2015-01-05,93.39405059814453,167.50881958007812,94.4805635418085,169.709381481765,93.12702545669941,167.20157466159998,94.37006819967621,169.5433034899103,36521300,169632600
2015-01-06,92.14181518554688,165.93104553222656,93.68871513661358,168.33920788655956,91.72746986961363,165.13385349984176,93.53218530836726,167.81605021934024,66205500,209151400
2015-01-07,93.32962036132812,167.9987335205078,93.55060407658328,168.33920159823194,92.52854473422794,166.81126398675295,92.74953547442874,167.2596757769494,37577400,125346700
2015-01-08,95.11590576171875,170.97987365722656,95.30005765251883,171.19578642164635,94.02018304410858,169.39381447525952,94.12146869153192,169.41041340257112,40212600,147217800
2015-01-09,94.48979187011719,169.60972595214844,95.43818757931022,171.41169801947515,93.93732207549053,168.99522348508043,95.41056549456795,171.39508642011177,41410100,158567300
2015-01-12,93.5045394897461,168.2811279296875,94.77520422436156,169.9004235801157,93.2651364441136,167.67493741345746,94.67391859063025,169.74264501553517,34129800,144396100
2015-01-13,93.47691345214844,167.80775451660156,95.41054323227432,170.63111821399596,92.72187953726988,166.50401638682845,94.4161062639142,169.50177020085064,56162300,214553300
2015-01-14,92.96128845214844,166.79470825195312,93.44009458930128,166.99400948708964,92.14180062792491,164.89309139992284,92.53773350001727,165.78991528068406,51354200,192991100
2015-01-15,91.7551040649414,165.26673889160156,93.54140033323955,167.74963470481038,91.6446086878003,165.1504830274808,93.39408018866418,167.43409031416195,51005400,176613900
2015-01-16,92.83238220214844,167.43409729003906,92.95208022586452,167.5918758274063,91.48805376101762,164.8764555018834,91.63537386521094,165.0591451061045,35362200,211879600
2015-01-20,93.56900787353516,167.79116821289062,93.80840393139471,168.33923703813153,92.34437740277916,166.2217076103842,93.39405865630017,168.07350209100636,30964100,130991100
2015-01-21,94.04779052734375,168.63816833496094,94.48976483158373,169.1198033829129,92.961277680403,166.86110720607405,93.29275665234718,167.32613065349287,40128800,122942700
2015-01-22,95.78804016113281,171.14598083496094,95.88932578072087,171.27883562097546,93.58739265361513,168.01535948680703,94.41608998436168,169.39383084307977,40887200,174356000
2015-01-23,95.99987030029297,170.20762634277344,96.29451761057327,171.14598535977007,95.5026516470176,170.074758882308,95.77887954887325,170.8885499035164,34783000,117516800
2015-01-26,95.88935852050781,170.60621643066406,96.06430774588286,170.6975612260688,95.40134965492987,169.2775798358859,95.88935852050781,169.99172659879434,19960900,92009700
2015-01-27,93.40328216552734,168.35581970214844,94.43454416707455,169.50176661957002,93.090215468668,167.5254171415259,94.37929999554751,168.54680874322912,45253200,134044600
2015-01-28,92.92446899414062,166.1968231201172,95.0054192740175,169.6429898217608,92.90605661332091,166.0058340156665,94.9041336171466,169.5433455361242,43591700,168514300
2015-01-29,93.81761169433594,167.73304748535156,93.99256090795463,167.99047029738128,92.04051855187267,164.9844038793491,92.85079670584071,166.39609861915292,46539700,173585400
2015-01-30,93.09021759033203,165.62380981445312,94.45296572693697,167.88250608803452,92.96130983720063,165.35808754923485,93.7347633809347,166.5538694200649,42927600,197729700
2015-02-02,93.9004898071289,167.6749725341797,93.98335605473237,167.766317371178,91.84716169774745,164.30353837560537,93.30198559408447,166.12212297615267,43624700,163107000
2015-02-03,94.80282592773438,170.09970092773438,94.86727978304152,170.10801306486388,93.62423713072171,168.1980841533659,94.24115360651062,168.57176286691228,30750400,124212900
2015-02-04,94.71997833251953,169.45191955566406,95.34610463224394,170.54805685642128,94.2043403636646,168.99519568034853,94.416121372739,169.33566372112335,34073200,134306700
2015-02-05,95.53946685791016,171.16258239746094,95.60392072631835,171.3120614565671,94.71997894888682,170.04154647338692,94.95937501729165,170.11627966747085,23605500,97953200
2015-02-06,94.95938110351562,170.6892547607422,95.91698651334505,172.09263716397587,94.61869935935624,170.1660970747955,95.68679310785562,171.52795681437757,34169300,125672000
2015-02-09,94.655517578125,169.92529296875,95.10669462122226,170.76399505727906,94.42532420563437,169.51839112153613,94.5910637148254,170.04154882924846,22604700,87219000
2015-02-10,96.12876892089844,171.7355194091797,96.25767666783219,171.99294212746773,95.0330460470162,169.96675823122814,95.18037320062354,170.9632512543156,23686500,96164200
2015-02-11,96.4786605834961,171.83522033691406,96.69964428944323,172.26703327799152,96.0551055533702,170.92178499229328,96.23925747083526,171.5694980684398,20303600,91087800
2015-02-12,97.60200500488281,173.4877166748047,97.6388367931611,173.54585094120173,96.95746627237587,171.86843407362545,97.10478640054374,172.6324029759526,22520300,97545900
2015-02-13,98.43989562988281,174.201904296875,98.45830800841594,174.25172643921942,97.69406433782487,173.35488986419506,97.87822324787676,173.61232538454388,29030200,93670400
2015-02-17,98.53199005126953,174.47593688964844,98.59644392563943,174.65032705693534,98.19130127248836,173.63723460359972,98.43991409144759,173.88634531266464,17675300,76968200
2015-02-18,98.67011260986328,174.49253845214844,98.72535678362637,174.56727166056717,98.2833823186843,173.83651316685336,98.41229007409537,174.10224813581863,15149600,80652900
2015-02-19,99.15811157226562,174.36788940429688,99.22256544348902,174.73326848136048,98.57801970631007,173.75339974826704,98.60564179041364,173.8945666333262,19828100,91462500
2015-02-20,99.8210678100586,175.41427612304688,99.87631197722503,175.4890093272425,98.7805891621241,173.32995717469723,99.09365583427221,173.9527592182076,28336700,140896400
2015-02-23,99.92234802246094,175.3893585205078,99.94997713142625,175.3893585205078,99.54483449927582,174.78315543099953,99.76581819638284,175.16514624533434,17868000,74411100
2015-02-24,99.9959945678711,175.88751220703125,100.11569961150066,176.08681332404754,99.48957338886807,175.0155872426188,99.79342328629234,175.3145325826764,19745000,72472300
2015-02-25,99.74738311767578,175.73817443847656,100.23539189083976,176.24472072773693,99.52639244591046,175.39770619942848,99.84866875266567,175.76308551246126,19472300,73061700
2015-02-26,100.25382995605469,175.53053283691406,100.30908115062495,175.80456725788164,99.57245943921382,174.9243297219221,99.8486943372293,175.64678871208758,22255500,72697900
2015-02-27,99.81185150146484,174.93263244628906,100.28144796613567,175.69660139502935,99.65532168822273,174.88281031260112,100.21698707544769,175.43086645410784,27757600,108076000
2015-03-02,100.71419525146484,176.03701782226562,100.75102703166067,176.09513940418077,99.9867833987207,174.9824031755729,100.00520280129051,175.03222529462465,22988600,87491400
2015-03-03,100.24461364746094,175.31463623046875,100.51163880591636,176.08691742842038,99.60927768337926,174.45102288802198,100.41035315874554,175.60528228075037,20788900,110325800
2015-03-04,99.8578872680664,174.57562255859375,100.06045857017806,174.79153545222348,99.31463425326207,173.60405255009337,99.9131384572434,174.7167895508431,21007400,114497200
2015-03-05,100.03282928466797,174.7666015625,100.33668621595461,175.04893551014462,99.61848403287279,174.2600552818704,100.11570254999346,174.89945639784037,15381000,76873000
2015-03-06,98.90030670166016,172.3085174560547,100.09730829926683,174.334701568189,98.65169386815585,171.97636152692365,99.9039466648445,173.90288872356942,30990400,188128000
2015-03-09,99.18572235107422,173.02273559570312,99.43432810461519,173.37980273350237,98.69771352101449,172.3501113251944,99.10284908326437,172.50788989154913,26237100,89818900
2015-03-10,97.34416961669922,170.2159423828125,98.50434612304042,171.73558084865232,97.34416961669922,170.17441971350635,98.47671701876953,171.65254818097966,34234500,157121300
2015-03-11,96.78252410888672,169.81736755371094,97.61122184336121,170.6477703290347,96.7456923179161,169.73432220780225,97.49151676647021,170.47338017100276,25459700,110145700
2015-03-12,97.4178466796875,171.9763946533203,97.52833501230847,172.04281571519147,96.6443932266164,170.39862200869325,96.70884709562692,170.44844414056607,21473200,93993500
2015-03-13,96.9942626953125,170.92178344726562,97.71247181947048,172.66562145538168,96.38655592864745,169.88378010757538,97.32574166801825,171.70236398606295,42021100,162410900
2015-03-16,98.24652862548828,173.20542907714844,98.28336040810126,173.29677389806815,97.25209859471485,170.94673229708107,97.35338424066447,171.65257979245538,25674100,136099200
2015-03-17,98.403076171875,172.69058227539062,98.55960599631482,173.0725604906945,97.7493277654396,171.87677835924563,97.9795211631258,172.46636995800847,19603800,94510400
2015-03-18,99.36988067626953,174.7666015625,99.82106477757209,175.43922589051218,97.62961921394465,171.57784476641802,98.13604748073537,172.21725855333082,40622200,228808500
2015-03-19,99.51720428466797,173.9694061279297,99.79343212724757,174.7748979480208,99.3238426873789,173.5791157544446,99.47116279843246,174.35139703402197,31314000,117917300
2015-03-20,100.161376953125,175.50497436523438,100.65973902686976,176.01378164444742,100.14292222792,174.73759519006882,100.33672852752615,174.9211002892932,31761400,177715100
2015-03-23,99.96759033203125,175.16302490234375,100.3828886213525,176.0888871144991,99.93067383325346,175.16302490234375,100.1060254421724,175.51334942484806,17268500,71784500
2015-03-24,99.60765075683594,174.17869567871094,100.41979250461307,175.49657706313127,99.58919603031656,174.11196541294967,99.95834688951443,175.03782716820487,22445300,77805300
2015-03-25,97.3281021118164,171.6263427734375,99.8568219504873,174.62080514368165,97.29118562002039,171.58464748611448,99.76453424154765,174.3872555336764,41581400,159521700
