Date,Close,High,Low,Open,Volume
2015-01-02,170.589599609375,171.79369351311453,169.5515963619706,171.37849221415277,121465900
2015-01-05,167.5087890625,169.70935056327772,167.20154419999722,169.5432726016799,169632600
2015-01-06,165.93104553222656,168.33920788655956,165.13385349984176,167.81605021934024,209151400
2015-01-07,167.99876403808594,168.33923217765732,166.81129428862295,167.25970616027502,125346700
2015-01-08,170.97991943359375,171.19583225581977,169.3938598269918,169.41045875874744,147217800
2015-01-09,169.60972595214844,171.41169801947515,168.99522348508043,171.39508642011177,158567300
2015-01-12,168.2811279296875,169.9004235801157,167.67493741345746,169.74264501553517,144396100
2015-01-13,167.8077850341797,170.63114924503202,166.5040466673083,169.50180102650307,214553300
2015-01-14,166.794677734375,166.99397893304638,164.89306123027387,165.78988494694778,192991100
2015-01-15,165.26673889160156,167.74963470481038,165.1504830274808,167.43409031416195,176613900
2015-01-16,167.4341278076172,167.59190637374212,164.87648555328985,165.05917519080907,211879600
2015-01-20,167.79112243652344,168.33919111224156,166.22166226219332,168.07345623761356,130991100
2015-01-21,168.63815307617188,169.11978808054434,166.86109210807777,167.32611551342015,122942700
2015-01-22,171.14599609375,171.27885089160938,168.01537446648058,169.39384594565314,174356000
2015-01-23,170.2075958251953,171.14595467394776,170.07472838855253,170.8885192638513,117516800
2015-01-26,170.60623168945312,170.6975764930276,169.27759497584347,169.99174180262426,92009700
2015-01-27,168.3558349609375,169.50178198222102,167.52543232505212,168.5468240193283,134044600
2015-01-28,166.19677734375,169.64294309619982,166.0057882919043,169.54329883800872,168514300
2015-01-29,167.73309326171875,167.99051614400227,164.98444890557835,166.39614403065067,173585400
2015-01-30,165.623779296875,167.88247515427264,165.3580570806183,166.55383873111552,197729700
2015-02-02,167.67491149902344,167.7662563027714,164.30347856768063,166.12206250624723,163107000
2015-02-03,170.0996551513672,170.10796728625976,168.19803888875214,168.571717501736,124212900
2015-02-04,169.45196533203125,170.54810292890306,168.99524133333466,169.33570946608478,134306700
2015-02-05,171.16259765625,171.31207672868194,170.04156163223797,170.1162948329842,97953200
2015-02-06,170.68930053710938,172.09268331670975,170.16614271085942,171.5280028156724,125672000
2015-02-09,169.9252471923828,170.76394905497295,169.51834545478468,170.041503021563,87219000
2015-02-10,171.7355194091797,171.99294212746773,169.96675823122814,170.9632512543156,96164200
2015-02-11,171.83517456054688,172.2669873865907,170.92173945926243,171.56945236286018,91087800
2015-02-12,173.48768615722656,173.54582041339742,171.86840384088927,172.6323726088295,97545900
2015-02-13,174.20188903808594,174.25171117606632,173.35487467959817,173.61231017739755,93670400
2015-02-17,174.47592163085938,174.65031178289502,173.63721941815933,173.88633010543833,76968200
2015-02-18,174.49252319335938,174.5672563952429,173.8364979654315,174.10223291115915,80652900
2015-02-19,174.36798095703125,174.73336022593895,173.75349097836056,173.89465793754007,91462500
2015-02-20,175.4142608642578,175.4889940619526,173.32994209721713,173.95274408655172,140896400
2015-02-23,175.38931274414062,175.38931274414062,174.78310981285046,175.16510052748623,74411100
2015-02-24,175.88758850097656,176.08688970444283,175.01566315835314,175.3146086280829,72472300
2015-02-25,175.73809814453125,176.24464421388257,175.39763005329206,175.7630092077012,73061700
2015-02-26,175.53050231933594,175.80453669266015,174.9242993097379,175.64675817429733,72697900
2015-02-27,174.93260192871094,175.69657074417432,174.88277980371464,175.43083584961113,108076000
2015-03-02,176.0370635986328,176.0951851956618,174.9824486776999,175.03227080970728,87491400
2015-03-03,175.3146514892578,176.08693275442616,174.45103807164506,175.60529756483626,110325800
2015-03-04,174.57559204101562,174.79150489690159,173.60402220235545,174.71675900858756,114497200
2015-03-05,174.7665252685547,175.04885909294708,174.25997920905664,174.89938004589757,76873000
2015-03-06,172.30853271484375,174.33471700640686,171.9763767562986,173.9029041235481,188128000
2015-03-09,173.02272033691406,173.37978744322373,172.35009612572375,172.50787467816406,89818900
2015-03-10,170.21595764160156,171.7355962436674,170.17443496857317,171.65256356855141,157121300
2015-03-11,169.81739807128906,170.64780099584306,169.73435271045645,170.47341080647178,110145700
2015-03-12,171.9763946533203,172.04281571519147,170.39862200869325,170.44844414056607,93993500
2015-03-13,170.92178344726562,172.66562145538168,169.88378010757538,171.70236398606295,162410900
2015-03-16,173.2053985595703,173.29674336439572,170.94670217746943,171.65254954847836,136099200
2015-03-17,172.6905059814453,173.07248402799289,171.87670242483534,172.46629376311918,94510400
2015-03-18,174.7665252685547,175.4391493029343,171.57776986451694,172.21718337229515,228808500
2015-03-19,173.9693603515625,174.7748519597055,173.57907008077407,174.35135115714198,117917300
2015-03-20,175.50494384765625,176.01375103839567,174.73756480592598,174.92106987324172,177715100
2015-03-23,175.16293334960938,176.08879507784286,175.16293334960938,175.513257689009,71784500
